school_name,year,cutoff_range,cutoff_min,cutoff_max,source_note
"Canberra Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Canberra Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Canberra Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Canossa Catholic Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Canossa Catholic Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Canossa Catholic Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Cantonment Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Cantonment Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Cantonment Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Casuarina Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Casuarina Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Casuarina Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Catholic High School (Primary Section)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Catholic High School (Primary Section)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Catholic High School (Primary Section)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Cedar Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Cedar Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Cedar Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Changkat Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Changkat Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Changkat Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"CHIJ (Katong) Primary",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ (Katong) Primary",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ (Katong) Primary",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ (Kellock)",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ (Kellock)",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ (Kellock)",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of Good Counsel",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of Good Counsel",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of Good Counsel",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of the Nativity",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of the Nativity",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady of the Nativity",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady Queen of Peace",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady Queen of Peace",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Our Lady Queen of Peace",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"CHIJ Primary (Toa Payoh)",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"CHIJ Primary (Toa Payoh)",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"CHIJ Primary (Toa Payoh)",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"CHIJ St. Nicholas Girls' School (Primary Section)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"CHIJ St. Nicholas Girls' School (Primary Section)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"CHIJ St. Nicholas Girls' School (Primary Section)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Chongfu School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Chongfu School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Chongfu School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Chongzheng Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Chongzheng Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Chongzheng Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Chua Chu Kang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Chua Chu Kang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Chua Chu Kang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Clementi Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Clementi Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Clementi Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Compassvale Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Compassvale Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Compassvale Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Concord Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Concord Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Concord Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Corporation Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Corporation Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Corporation Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Damai Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Damai Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Damai Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Dazhong Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Dazhong Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Dazhong Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"De La Salle School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"De La Salle School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"De La Salle School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"East Spring Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"East Spring Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"East Spring Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Edgefield Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Edgefield Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Edgefield Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Elias Park Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Elias Park Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Elias Park Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Endeavour Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Endeavour Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Endeavour Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Evergreen Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Evergreen Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Evergreen Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fairfield Methodist School (Primary)",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fairfield Methodist School (Primary)",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fairfield Methodist School (Primary)",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Farrer Park Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Farrer Park Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Farrer Park Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fengshan Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fengshan Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fengshan Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fern Green Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fern Green Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fern Green Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fernvale Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fernvale Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fernvale Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"First Toa Payoh Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"First Toa Payoh Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"First Toa Payoh Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Frontier Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Frontier Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Frontier Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuchun Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuchun Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuchun Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuhua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuhua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Fuhua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Gan Eng Seng Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Gan Eng Seng Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Gan Eng Seng Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Geylang Methodist School (Primary)",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Geylang Methodist School (Primary)",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Geylang Methodist School (Primary)",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Gongshang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Gongshang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Gongshang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Greendale Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Greendale Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Greendale Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenridge Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenridge Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenridge Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenwood Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenwood Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Greenwood Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Haig Girls' School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Haig Girls' School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Haig Girls' School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Henry Park Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Henry Park Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Henry Park Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Holy Innocents' Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Holy Innocents' Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Holy Innocents' Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Hong Wen School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Hong Wen School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Hong Wen School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Horizon Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Horizon Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Horizon Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Hougang Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Hougang Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Hougang Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Huamin Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Huamin Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Huamin Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Innova Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Innova Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Innova Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Jiemin Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Jiemin Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Jiemin Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Jing Shan Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Jing Shan Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Jing Shan Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Junyuan Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Junyuan Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Junyuan Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Jurong Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Jurong Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Jurong Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Jurong West Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Jurong West Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Jurong West Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Keming Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Keming Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Keming Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Kheng Cheng School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Kheng Cheng School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Kheng Cheng School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Kong Hwa School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Kong Hwa School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Kong Hwa School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Kranji Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Kranji Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Kranji Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Kuo Chuan Presbyterian Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Kuo Chuan Presbyterian Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Kuo Chuan Presbyterian Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Lakeside Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Lakeside Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Lakeside Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Lianhua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Lianhua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Lianhua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Maha Bodhi School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Maha Bodhi School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Maha Bodhi School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Maris Stella High School (Primary Section)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Maris Stella High School (Primary Section)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Maris Stella High School (Primary Section)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Marsiling Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Marsiling Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Marsiling Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Marymount Convent School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Marymount Convent School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Marymount Convent School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Mayflower Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Mayflower Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Mayflower Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Mee Toh School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Mee Toh School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Mee Toh School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Meridian Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Meridian Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Meridian Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Methodist Girls' School (Primary)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Methodist Girls' School (Primary)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Methodist Girls' School (Primary)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Montfort Junior School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Montfort Junior School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Montfort Junior School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Nan Chiau Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Nan Chiau Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Nan Chiau Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Nan Hua Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Nan Hua Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Nan Hua Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Nanyang Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Nanyang Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Nanyang Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Naval Base Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Naval Base Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Naval Base Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"New Town Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"New Town Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"New Town Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Ngee Ann Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Ngee Ann Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Ngee Ann Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"North Spring Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"North Spring Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"North Spring Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"North View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"North View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"North View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"North Vista Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"North Vista Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"North Vista Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Northland Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Northland Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Northland Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Northoaks Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Northoaks Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Northoaks Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Northshore Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Northshore Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Northshore Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Oasis Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Oasis Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Oasis Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Opera Estate Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Opera Estate Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Opera Estate Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Palm View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Palm View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Palm View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Park View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Park View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Park View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Pasir Ris Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Pasir Ris Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Pasir Ris Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Paya Lebar Methodist Girls' School (Primary)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Paya Lebar Methodist Girls' School (Primary)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Paya Lebar Methodist Girls' School (Primary)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Pei Chun Public School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Pei Chun Public School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Pei Chun Public School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Pei Hwa Presbyterian Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Pei Hwa Presbyterian Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Pei Hwa Presbyterian Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Pei Tong Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Pei Tong Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Pei Tong Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Peiying Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Peiying Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Peiying Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Pioneer Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Pioneer Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Pioneer Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Poi Ching School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Poi Ching School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Poi Ching School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Princess Elizabeth Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Princess Elizabeth Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Princess Elizabeth Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
