school_name,address,postal_code,planning_area,town,latitude,longitude
"Greenridge Primary School","592 Upper Bukit Timah Road","678117","BUKIT PANJANG","BUKIT PANJANG","1.3858892193692","103.767794469258"
"West Spring Primary School","61 SENJA ROAD WEST SPRING SECONDARY SCHOOL SINGAPORE 677737","678692","BUKIT PANJANG","BUKIT PANJANG","1.38782283303782","103.760128840155"
"Henry Park Primary School","1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790","278790","BUKIT TIMAH","BUKIT TIMAH","1.31667646178347","103.784296227747"
"Nanyang Primary School","95 KING'S ROAD KING'S GARDEN SINGAPORE 268144","268138","BUKIT TIMAH","BUKIT TIMAH","1.31729533897233","103.805595008848"
"Raffles Girls' Primary School","21 HILLCREST ROAD KNOWLEDGE PARK EDUCARE (SC) PTE LTD (RAFFLES GIRLS) SINGAPORE 289072","289072","BUKIT TIMAH","BUKIT TIMAH","1.33004178068277","103.806397828938"
"St. Margaret's Primary School","99 Wilkie Road","228088","CENTRAL AREA","CENTRAL AREA","1.30390355715254","103.845955315605"
"Stamford Primary School","1 VICTORIA LANE SINGAPORE 198423","188010","CENTRAL AREA","CENTRAL AREA","1.30345638467449","103.857453500579"
"Tao Nan School","49 Marine Parade","449108","CENTRAL AREA","CENTRAL AREA","1.2943321052493","103.849026157822"
"Choa Chu Kang Primary School","30 Choa Chu Kang Street 54","689234","CHOA CHU KANG","CHOA CHU KANG","1.38026516111464","103.736554295636"
"De La Salle School","11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285","689285","CHOA CHU KANG","CHOA CHU KANG","1.3947078296399","103.743201812831"
"South View Primary School","6 Choa Chu Kang Street 51","689333","CHOA CHU KANG","CHOA CHU KANG","1.38166664389749","103.746275846011"
"Yew Tee Primary School","20 CHOA CHU KANG STREET 64 THE WINDERMERE SINGAPORE 689093","689143","CHOA CHU KANG","CHOA CHU KANG","1.39774827163461","103.751580705894"
"Clementi Primary School","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","129904","CLEMENTI","CLEMENTI","1.31553912945073","103.762020598524"
"Nan Hua Primary School","30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806","128806","CLEMENTI","CLEMENTI","1.31920159956387","103.761095065761"
"Qifa Primary School","518 CLEMENTI AVENUE 3 CLEMENTI SPORTS CENTRE SINGAPORE 129907","129908","CLEMENTI","CLEMENTI","1.31101498092681","103.764861406796"
"West Coast Primary School","328 CLEMENTI AVENUE 2 SINGAPORE 120328","129907","CLEMENTI","CLEMENTI","1.31399161476536","103.767089003977"
"Geylang Methodist School (Primary)","2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705","389705","GEYLANG","GEYLANG","1.31764900474601","103.882661129303"
"Gongshang Primary School","15 TAMPINES STREET 62 PARKTOWN RESIDENCE (U/C) SINGAPORE 529389","529456","GEYLANG","GEYLANG","1.36684842281087","103.937776357215"
"MacPherson Primary School","191 UPPER PAYA LEBAR ROAD SINGAPORE 534871","409033","GEYLANG","GEYLANG","1.34018739316387","103.884956214356"
"Damai Primary School","529 BEDOK RESERVOIR ROAD ARCHIPELAGO SINGAPORE 479281","479229","HOUGANG","HOUGANG","1.33862896753118","103.920209884773"
"Hougang Primary School","90 HOUGANG AVENUE 10 SUNFLOWER PRESCHOOL @ HOUGANG (PTE. LTD.) SINGAPORE 538766","538789","HOUGANG","HOUGANG","1.37231186447501","103.893661609307"
"Punggol Primary School","50 PUNGGOL WALK A TREASURE TROVE SINGAPORE 828830","828814","HOUGANG","HOUGANG","1.40604382878848","103.899379746577"
"Xinmin Primary School","9 HOUGANG AVENUE 8 RAFFLES STUDENT CARE CENTRE LLP (XINMIN PRIMARY) SINGAPORE 538784","538789","HOUGANG","HOUGANG","1.37176798317468","103.88280991785"
"Fuhua Primary School","5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410","649410","JURONG EAST","JURONG EAST","1.34701408913756","103.72652089832"
"Jurong Primary School","30 Jurong West Street 75","648186","JURONG EAST","JURONG EAST","1.34843859698946","103.733156566858"
"Rulang Primary School","2 JURONG WEST STREET 25 SINGAPORE 648325","649296","JURONG EAST","JURONG EAST","1.3547096550712","103.702641921539"
"Shuqun Primary School","450 JURONG WEST STREET 42 SINGAPORE 640450","649370","JURONG EAST","JURONG EAST","1.35163889174202","103.717524141693"
"Boon Lay Garden Primary School","31 Jurong West Street 52","649296","JURONG WEST","JURONG WEST","1.34317853793318","103.713280889452"
"Jurong West Primary School","606 JURONG WEST STREET 65 SINGAPORE 640606","648354","JURONG WEST","JURONG WEST","1.33793644267156","103.699282789577"
"Pioneer Primary School","31 JURONG WEST STREET 24 ACE @ WORK ENRICHMENT PTE LTD (CORPORATION PRIMARY) SINGAPORE 648347","648200","JURONG WEST","JURONG WEST","1.35148548772662","103.707578404944"
"Yuhua Primary School","21 JURONG WEST STREET 93 CALTEX JURONG WEST SINGAPORE 648964","649410","JURONG WEST","JURONG WEST","1.33868102526914","103.692767342476"
"Kallang Primary School","121 POTONG PASIR AVENUE 1 JALAN BESAR TOWN COUNCIL (POTONG PASIR OFFICE) SINGAPORE 350121","208801","KALLANG/WHAMPOA","KALLANG/WHAMPOA","1.33574084734373","103.865665596118"
"St. Andrew's Junior School","5 Potong Pasir Avenue 1","358571","KALLANG/WHAMPOA","KALLANG/WHAMPOA","1.33140255308868","103.865117134385"
"Whampoa Primary School","10 WHAMPOA DRIVE SINGAPORE 327720","327715","KALLANG/WHAMPOA","KALLANG/WHAMPOA","1.3225053606235","103.853439457391"
"Haig Girls' School","2 HAIG ROAD HAIG VIEW SINGAPORE 430002","438792","MARINE PARADE","MARINE PARADE","1.31229349318871","103.897692815712"
"Tao Nan School","49 Marine Parade","449108","MARINE PARADE","MARINE PARADE","1.2943321052493","103.849026157822"
"Victoria School","2 SIGLAP LINK VICTORIA SCHOOL SINGAPORE 448880","448880","MARINE PARADE","MARINE PARADE","1.3087130270751","103.927980966639"
"Casuarina Primary School","50 Pasir Ris Drive 1","519529","PASIR RIS","PASIR RIS","1.37246063927999","103.957020286115"
"Elias Park Primary School","11 PASIR RIS STREET 41 PASIR RIS CREST SECONDARY SCHOOL SINGAPORE 518934","518934","PASIR RIS","PASIR RIS","1.37284060102246","103.959728202919"
"Pasir Ris Primary School","390 Pasir Ris Drive 6","519391","PASIR RIS","PASIR RIS","1.37241870245531","103.962807212116"
"White Sands Primary School","2 PASIR RIS STREET 11 LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL) SINGAPORE 519075","519074","PASIR RIS","PASIR RIS","1.36563610941695","103.960861814678"
"Edgefield Primary School","75 Punggol Field","828814","PUNGGOL","PUNGGOL","1.40009139510996","103.907847599114"
"Greendale Primary School","50 PUNGGOL WALK A TREASURE TROVE SINGAPORE 828830","828814","PUNGGOL","PUNGGOL","1.40604382878848","103.899379746577"
"Punggol Primary School","50 PUNGGOL WALK A TREASURE TROVE SINGAPORE 828830","828814","PUNGGOL","PUNGGOL","1.40604382878848","103.899379746577"
"Waterway Primary School","70 PUNGGOL DRIVE KNOWLEDGE PARK EDUCARE PTE LTD (WATERWAY PRIMARY) SINGAPORE 828802","828824","PUNGGOL","PUNGGOL","1.39889261226315","103.918585924582"
"Fairfield Methodist School (Primary)","102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649","139649","QUEENSTOWN","QUEENSTOWN","1.30163374395823","103.784099647149"
"New Town Primary School","300 TANGLIN HALT ROAD NEW TOWN CAREHUT SINGAPORE 148812","148812","QUEENSTOWN","QUEENSTOWN","1.29981138884057","103.799964819895"
"Queensway Primary School","2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295","149295","QUEENSTOWN","QUEENSTOWN","1.30022271592188","103.802207291625"
"Commonwealth Primary School","3155 COMMONWEALTH AVENUE WEST CLEMENTI BUS INTERCHANGE SINGAPORE 129588","149603","QUEENSTOWN","QUEENSTOWN","1.31496652285558","103.764270467593"
"Canberra Primary School","21 SEMBAWANG HILLS DRIVE THOMSON HILLS ESTATE SINGAPORE 575899","757714","SEMBAWANG","SEMBAWANG","1.37643434694039","103.830089528994"
"Sembawang Primary School","30 SEMBAWANG DRIVE SEMBAWANG PUBLIC LIBRARY SINGAPORE 757713","757714","SEMBAWANG","SEMBAWANG","1.44819666623789","103.819498634275"
"Wellington Primary School","10 WELLINGTON CIRCLE MOE KINDERGARTEN @ WELLINGTON SINGAPORE 757702","757702","SEMBAWANG","SEMBAWANG","1.45168517614776","103.822516208087"
"Compassvale Primary School","21 Sengkang East Way","545040","SENGKANG","SENGKANG","1.39444529636566","103.897812229905"
"North Spring Primary School","15 Sengkang East Way","545040","SENGKANG","SENGKANG","1.38706146494859","103.903202683028"
"Rivervale Primary School","11 Rivervale Street","545081","SENGKANG","SENGKANG","1.39340997767762","103.904559511997"
"Sengkang Primary School","15 Anchorvale Link","544835","SENGKANG","SENGKANG","1.39284606680477","103.875217666486"
"Paya Lebar Methodist Girls' School (Primary)","296 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY) SINGAPORE 536742","536742","SERANGOON","SERANGOON","1.35096755912522","103.885120050588"
"Serangoon Garden Primary School","21 SERANGOON GARDEN WAY SINGAPORE 556063","556052","SERANGOON","SERANGOON","1.36295924508072","103.871609222719"
"Yangzheng Primary School","237 SERANGOON AVENUE 3 SINGAPORE 550237","556095","SERANGOON","SERANGOON","1.35381198342473","103.87013457465"
"Angsana Primary School","1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176","529177","TAMPINES","TAMPINES","1.35711606790292","103.949144797277"
"East Spring Primary School","30 Tampines Street 81","529014","TAMPINES","TAMPINES","1.35268400746357","103.961676849165"
"Gongshang Primary School","15 TAMPINES STREET 62 PARKTOWN RESIDENCE (U/C) SINGAPORE 529389","529456","TAMPINES","TAMPINES","1.36684842281087","103.937776357215"
"Junyuan Primary School","15 TAMPINES STREET 62 PARKTOWN RESIDENCE (U/C) SINGAPORE 529389","529456","TAMPINES","TAMPINES","1.36684842281087","103.937776357215"
"Poi Ching School","5 Tampines Street 21","529399","TAMPINES","TAMPINES","1.35765122315688","103.935246477199"
"Tampines North Primary School","30 TAMPINES AVENUE 9 BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL) SINGAPORE 529565","529766","TAMPINES","TAMPINES","1.36048786025607","103.948768900518"
"First Toa Payoh Primary School","7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252","319253","TOA PAYOH","TOA PAYOH","1.34032299499938","103.855529906182"
"Pei Tong Primary School","10 LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 310010","319314","TOA PAYOH","TOA PAYOH","1.33716527577081","103.857228807914"
"St. Andrew's Junior School","5 Potong Pasir Avenue 1","358571","TOA PAYOH","TOA PAYOH","1.33140255308868","103.865117134385"
"Admiralty Primary School","31 Woodlands Ring Road","738240","WOODLANDS","WOODLANDS","1.4426347903311","103.800040119743"
"Evergreen Primary School","21 Woodlands Street 81","738526","WOODLANDS","WOODLANDS","1.44415332824735","103.794577787757"
"Greenwood Primary School","20 WOODLANDS AVENUE 9 SHELL WOODLANDS AVENUE 9 SINGAPORE 738954","739064","WOODLANDS","WOODLANDS","1.44431165485789","103.790067364842"
"Marsiling Primary School","WOODLANDS STREET 31","738454","WOODLANDS","WOODLANDS","1.43047275332765","103.774942395378"
"Qihua Primary School","51 Woodlands Street 13","738623","WOODLANDS","WOODLANDS","1.44203596557592","103.788339762066"
"Riverside Primary School","30 WOODLANDS AVENUE 1 THE WOODGROVE SINGAPORE 739065","739064","WOODLANDS","WOODLANDS","1.42898765704375","103.780916973423"
"Chongfu School","70 Yishun Avenue 6","768980","YISHUN","YISHUN","1.43839562897006","103.839309173817"
"Northland Primary School","530 YISHUN RING ROAD SINGAPORE 768680","768689","YISHUN","YISHUN","1.42731880981378","103.844863443"
"Xishan Primary School","11 YISHUN STREET 61 CHUNG CHENG HIGH SCHOOL (YISHUN) SINGAPORE 768547","768547","YISHUN","YISHUN","1.41922603586175","103.837390782849"
"Yishun Primary School","6 YISHUN STREET 21 YISHUN TOWN SECONDARY SCHOOL SINGAPORE 768610","768610","YISHUN","YISHUN","1.43232156717386","103.838094226361"
