school_name,year,cutoff_range,cutoff_min,cutoff_max,source_note
"Rosyth School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Rosyth School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Toa Payoh Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Toa Payoh Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Queenstown Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Queenstown Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Bukit Panjang Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Bukit Panjang Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Bukit Timah Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Bukit Timah Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Geylang Methodist School (Primary)",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Geylang Methodist School (Primary)",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Ngee Ann Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Ngee Ann Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Bendemeer Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Bendemeer Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Alexandra Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Alexandra Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"

